Ativo,Timeframe,Horário,Dia da Semana,Contexto,Localização,Estratégia,Gatilho,Variar,0.5,0.61,1,1.414,1.61,2,MAIS,1b,2c,3c,Stop
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,66,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,7,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,10,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-15,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-4,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-4,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,-2,True,True,False,False,False,False,False,False,False,False,False
BTC,2m,00:00,Segunda,,200MA,-,180,24,True,True,False,False,False,False,False,False,False,False,False
JP225,2m,00:00,Segunda,,200MA,-,180,24,True,True,True,False,False,False,False,False,False,False,False
JP225,2m,00:00,Segunda,,200MA,-,180,6,True,True,True,True,True,False,False,False,False,False,False
JP225,2m,00:00,Segunda,,200MA,-,180,6,True,True,False,True,False,False,False,False,False,False,False
JP225,2m,00:00,Segunda,,200MA,-,180,12.0,False,False,False,False,False,False,False,False,False,False,True
JP225,2m,00:00,Segunda,,200MA,-,180,4.0,False,False,False,False,False,False,False,False,False,False,True
JP225,2m,00:00,Segunda,,200MA,-,180,4.0,False,False,False,False,False,False,False,False,False,False,True
JP225,2m,00:00,Segunda,,200MA,-,180,-15.0,False,False,False,False,False,False,False,False,False,False,True
JP225,2m,00:00,Segunda,,200MA,-,180,15,True,True,True,True,False,False,False,False,False,False,False
BTC,2m,00:30,Segunda,,200MA,-,180,4,True,True,True,True,False,False,False,False,False,False,False
BTC,2m,00:30,Segunda,,200MA,-,180,4,True,True,True,True,False,False,False,False,False,False,False
BTC,2m,00:30,Segunda,,200MA,-,180,4,True,True,True,False,False,False,False,False,False,False,False
